기간	자치구	동	인구	면적	인구밀도
2017	구로구	개봉3동	22,267	0.81	27,490
2017	구로구	오류1동	21,547	0.59	36,520
2017	구로구	오류2동	45,505	4.6	9,892
2017	구로구	수궁동	25,851	2.67	9,682
2017	구로구	가리봉동	16,207	0.4	40,518
2017	구로구	구로2동	35,893	1.76	20,394
2017	구로구	개봉1동	35,131	1.31	26,818
2017	금천구	소계	253,491	13.02	19,469
2017	금천구	가산동	23,274	2.52	9,236
2017	금천구	독산1동	39,421	2.09	18,862
2017	금천구	독산2동	22,670	0.6	37,783
2017	금천구	독산3동	30,584	0.92	33,243
2017	금천구	독산4동	18,996	0.59	32,197
2017	금천구	시흥1동	37,640	1.71	22,012
2017	금천구	시흥2동	23,761	1.26	18,858
2017	금천구	시흥3동	12,065	1.07	11,276
2017	금천구	시흥4동	23,203	0.87	26,670
2017	금천구	시흥5동	21,877	1.39	15,739
2017	영등포구	소계	402,024	24.55	16,377
2017	영등포구	여의동	33,718	8.41	4,009
2017	영등포구	당산1동	21,261	0.75	28,348
2017	영등포구	당산2동	35,684	1.55	23,022
2017	영등포구	양평1동	17,194	0.88	19,539
2017	영등포구	양평2동	22,769	3	7,590
2017	영등포구	신길1동	20,494	0.66	31,052
2017	영등포구	신길3동	17,780	0.48	37,042
2017	영등포구	신길4동	10,712	0.35	30,606
2017	영등포구	신길5동	13,079	0.47	27,828
2017	영등포구	신길6동	20,019	0.68	29,440
2017	영등포구	신길7동	17,292	0.64	27,019
2017	영등포구	대림1동	16,843	0.49	34,373
2017	영등포구	대림2동	21,811	0.55	39,656
2017	영등포구	대림3동	29,654	1	29,654
2017	영등포구	영등포본동	25,703	1.02	25,199
2017	영등포구	영등포동	24,055	1.26	19,091
2017	영등포구	도림동	22,274	0.89	25,027
2017	영등포구	문래동	31,682	1.49	21,263
2017	동작구	소계	408,493	16.35	24,978
2017	동작구	노량진2동	14,585	0.64	22,789
2017	동작구	상도1동	48,471	1.51	32,100
2017	동작구	상도2동	27,549	0.98	28,111
2017	동작구	상도3동	26,304	0.6	43,840
2017	동작구	상도4동	30,357	0.75	40,476
2017	동작구	사당1동	23,872	0.79	30,218
2017	동작구	사당3동	24,967	0.92	27,138
2017	동작구	사당4동	14,940	0.38	39,316
2017	동작구	사당5동	13,316	0.57	23,361
2017	동작구	대방동	40,684	1.55	26,248
2017	동작구	신대방1동	27,427	0.62	44,237
2017	동작구	신대방2동	20,867	1.03	20,259
2017	동작구	흑석동	33,532	1.68	19,960
2017	동작구	노량진1동	32,784	1.58	20,749
2017	동작구	사당2동	28,838	2.75	10,487
2017	관악구	소계	520,929	29.57	17,617
2017	관악구	보라매동	26,484	0.76	34,847
2017	관악구	청림동	16,695	0.3	55,650
2017	관악구	행운동	30,399	0.72	42,221
2017	관악구	낙성대동	17,882	2.27	7,878
2017	관악구	중앙동	15,506	0.39	39,759
2017	관악구	인헌동	27,748	1.08	25,693
2017	관악구	남현동	19,022	3.27	5,817
2017	관악구	서원동	23,542	0.65	36,218
2017	관악구	신원동	19,940	0.55	36,255
2017	관악구	서림동	25,264	0.99	25,519
2017	관악구	신사동	26,229	0.64	40,983
2017	관악구	신림동	21,470	0.54	39,759
2017	관악구	난향동	16,871	0.8	21,089
2017	관악구	조원동	19,952	0.67	29,779
2017	관악구	대학동	24,589	8.3	2,963
2017	관악구	은천동	35,985	0.78	46,135
2017	관악구	성현동	33,453	0.68	49,196
2017	관악구	청룡동	29,457	1.18	24,964
2017	관악구	난곡동	30,094	0.96	31,348
2017	관악구	삼성동	26,826	2.66	10,085
2017	관악구	미성동	33,521	1.38	24,291
2017	서초구	소계	445,401	46.99	9,480
2017	서초구	서초1동	21,532	1.42	15,163
2017	서초구	서초2동	16,766	1.24	13,521
2017	서초구	서초3동	30,439	2.93	10,389
2017	서초구	서초4동	31,285	0.88	35,551
2017	서초구	잠원동	34,940	1.76	19,852
2017	서초구	반포본동	12,826	1.01	12,699
2017	서초구	반포1동	28,665	1	28,665
2017	서초구	반포2동	24,506	1.35	18,153
2017	서초구	반포3동	18,721	1.28	14,626
2017	서초구	반포4동	20,443	1.43	14,296
2017	서초구	방배본동	21,805	0.67	32,545
2017	서초구	방배1동	17,293	0.7	24,704
2017	서초구	방배2동	27,221	1.93	14,104
2017	서초구	방배3동	22,584	2.4	9,410
2017	서초구	방배4동	26,392	0.98	26,931
2017	서초구	양재1동	47,275	5.76	8,207
2017	서초구	양재2동	23,836	7.58	3,145
2017	서초구	내곡동	18,872	12.68	1,488
2017	강남구	소계	561,052	39.5	14,203
2017	강남구	신사동	18,105	1.89	9,579
2017	강남구	논현1동	24,186	1.25	19,349
2017	강남구	논현2동	22,573	1.47	15,356
2017	강남구	삼성1동	15,193	1.94	7,831
2017	강남구	삼성2동	29,628	1.24	23,894
2017	강남구	대치1동	25,262	0.79	31,977
2017	강남구	대치4동	21,193	0.73	29,032
2017	강남구	역삼1동	36,534	2.35	15,546
2017	강남구	역삼2동	37,103	1.15	32,263
2017	강남구	도곡1동	22,882	1.02	22,433
2017	강남구	도곡2동	34,884	1.02	34,200
2017	강남구	개포1동	20,111	1.27	15,835
2017	강남구	개포4동	18,525	1.49	12,433
2017	강남구	일원본동	25,027	2.58	9,700
2017	강남구	일원1동	17,108	0.92	18,596
2017	강남구	일원2동	16,467	1.24	13,280
2017	강남구	수서동	16,787	1.43	11,739
2017	강남구	세곡동	44,921	6.36	7,063
2017	강남구	압구정동	28,050	2.53	11,087
2017	강남구	청담동	30,269	2.33	12,991
2017	강남구	대치2동	41,566	2	20,783
2017	강남구	개포2동	14,678	2.51	5,848
2017	송파구	소계	671,173	33.87	19,813
2017	송파구	풍납1동	16,996	0.77	22,073
2017	송파구	풍납2동	25,386	1.59	15,966
2017	송파구	거여1동	13,466	0.51	26,404
2017	송파구	거여2동	17,915	0.53	33,802
2017	송파구	마천1동	22,047	0.58	38,012
2017	송파구	마천2동	20,857	0.89	23,435
2017	송파구	방이1동	16,758	0.5	33,516
2017	송파구	방이2동	25,600	0.8	32,000
2017	송파구	오륜동	19,562	3.17	6,171
2017	송파구	오금동	38,091	1.65	23,085
2017	송파구	송파1동	26,318	0.79	33,314
2017	송파구	송파2동	21,474	0.53	40,517
2017	송파구	석촌동	34,670	0.95	36,495
2017	송파구	삼전동	33,624	0.95	35,394
2017	송파구	가락본동	28,251	1.13	25,001
2017	송파구	가락1동	905	1.34	675
2017	송파구	가락2동	34,681	0.96	36,126
2017	송파구	문정1동	21,608	0.56	38,586
2017	송파구	문정2동	27,540	2.2	12,518
2017	송파구	장지동	35,217	1.37	25,706
2017	송파구	위례동	28,253	2.55	11,080
2017	송파구	잠실본동	29,897	0.94	31,805
2017	송파구	잠실4동	30,430	1.56	19,506
2017	송파구	잠실6동	17,430	2.79	6,247
2017	송파구	잠실7동	10,444	0.6	17,407
2017	송파구	잠실2동	36,983	2.18	16,965
2017	송파구	잠실3동	36,770	1.49	24,678
2017	강동구	소계	440,359	24.59	17,909
2017	강동구	강일동	33,676	2.8	12,027
2017	강동구	상일동	9,894	2.65	3,734
2017	강동구	명일1동	22,609	0.61	37,064
2017	강동구	명일2동	18,210	0.97	18,773
2017	강동구	고덕1동	27,602	1.73	15,955
2017	강동구	고덕2동	8,232	2.01	4,096
2017	강동구	암사2동	14,991	1.18	12,704
2017	강동구	암사3동	19,028	2.51	7,581
2017	강동구	천호1동	29,748	0.71	41,899
2017	강동구	천호3동	28,193	0.79	35,687
2017	강동구	성내1동	21,208	0.58	36,566
2017	강동구	성내2동	25,967	0.67	38,757
2017	강동구	성내3동	24,536	0.71	34,558
2017	강동구	둔촌1동	1,997	0.92	2,171
2017	강동구	둔촌2동	28,920	0.98	29,510
2017	강동구	암사1동	38,434	1.02	37,680
2017	강동구	천호2동	36,691	1.57	23,370
2017	강동구	길동	50,423	2.17	23,236
